id,last_name,first_name,value,team,position,opponent,minutes,points,threes,rebounds,assists,steals,blocks,turnovers,twos,free throws,free_throws_missed,field goals,field_goals_missed,double doubles,triple doubles,injury
3435,Barnes,Harrison,28.30,SAC,SF/PF,@ NOR,37.00,17.27,2.24,4.56,1.79,0.95,0.14,1.40,3.16,4.23,0.91,5.40,5.84,0.03,0.000,,
6327,Aldama,Santi,26.83,MEM,PF,TOR,30.00,12.76,1.81,6.01,1.86,0.84,0.84,1.24,2.55,2.23,0.91,4.36,4.88,0.08,0.000,,
6168,Tillman,Xavier,26.50,MEM,PF,TOR,28.00,9.79,0.16,7.81,1.95,1.45,0.68,1.09,3.81,1.69,1.23,3.97,3.20,0.15,0.000,,
5489,Hartenstein,Isaiah,25.78,NYK,PF/C,PHI,28.00,7.67,0.20,9.54,1.45,0.83,1.31,1.20,3.09,0.89,0.30,3.29,2.82,0.15,0.000,,
3162,Hayward,Gordon,25.77,CHA,SF,ORL,29.00,13.27,1.25,3.86,3.63,0.95,0.27,1.72,3.62,2.28,0.52,4.87,5.48,0.02,0.000,,
6505,Mathurin,Bennedict,25.72,IND,SG/SF,CLE,29.00,17.60,1.08,4.01,1.32,0.65,0.12,2.00,4.13,6.10,1.16,5.21,6.97,0.03,0.000,,
6290,Murphy,Trey,25.35,NOR,SG/SF,SAC,30.00,14.38,2.20,3.41,1.46,1.24,0.62,0.66,2.88,2.02,0.16,5.08,5.48,0.02,0.000,,
6185,Quickley,Immanuel,24.94,NYK,PG,PHI,30.00,13.12,1.69,3.67,3.27,0.85,0.13,1.01,2.77,2.51,0.46,4.46,5.96,0.02,0.000,,
5017,Hernangomez,Willy,24.80,NOR,C,SAC,21.00,10.15,0.07,8.22,1.74,0.51,0.60,1.64,3.57,2.80,0.84,3.64,3.23,0.22,0.000,,
6188,McDaniels,Jaden,24.69,MIN,SF,DEN,32.00,11.91,1.24,3.81,2.44,1.05,1.13,1.29,3.46,1.27,0.45,4.70,4.29,0.01,0.000,,
5036,Nance Jr.,Larry,24.46,NOR,PF/C,SAC,26.00,9.27,0.36,6.70,2.24,1.04,0.75,0.78,3.57,1.05,0.42,3.93,2.47,0.05,0.001,,
6502,Murray,Keegan,24.36,SAC,PF,@ NOR,33.00,12.80,2.66,4.95,1.10,0.75,0.59,0.64,1.92,0.98,0.26,4.58,6.15,0.02,0.000,,
6322,Grimes,Quentin,24.07,NYK,SG,PHI,35.00,12.15,2.36,4.12,2.29,0.92,0.48,1.35,1.84,1.39,0.31,4.20,5.20,0.02,0.000,,
6161,Nesmith,Aaron,23.48,IND,SF,CLE,30.00,12.10,1.79,4.55,1.49,1.10,0.45,1.14,2.37,1.99,0.30,4.16,5.62,0.02,0.000,,
6180,Nnaji,Zeke,22.36,DEN,PF,@ MIN,26.00,11.94,0.85,5.07,0.59,0.76,0.83,0.95,3.51,2.37,1.16,4.36,3.89,0.05,0.000,,
6532,Nembhard,Andrew,22.23,IND,PG,CLE,33.00,9.05,1.23,3.24,4.44,1.32,0.20,2.42,2.38,0.60,0.08,3.61,5.23,0.01,0.000,,
6511,Williams,Mark,21.32,CHA,C,ORL,17.00,9.48,0.00,6.22,0.49,0.70,1.12,0.78,3.69,2.10,0.90,3.69,1.91,0.05,0.000,,
2724,Green,Jeff,20.45,DEN,PF,@ MIN,25.00,12.48,0.74,3.18,1.70,0.61,0.25,1.34,3.69,2.88,0.82,4.43,4.24,0.02,0.000,,
5495,Cancar,Vlatko,20.41,DEN,SF,@ MIN,25.00,9.58,1.57,3.92,2.44,0.79,0.30,1.41,1.91,1.05,0.23,3.48,3.78,0.01,0.000,,
5687,Melton,De'Anthony,20.10,PHI,PG/SG,@ NYK,24.00,8.36,1.86,3.72,2.13,1.32,0.46,1.22,1.09,0.60,0.17,2.95,4.19,0.01,0.000,,
5981,McDaniels,Jalen,19.84,CHA,PF,ORL,23.00,9.61,1.08,3.80,1.68,1.02,0.49,1.22,2.52,1.33,0.28,3.60,4.12,0.01,0.000,,
3046,Rubio,Ricky,19.42,CLE,PG,@ IND,20.00,7.35,1.00,2.62,4.28,1.18,0.14,1.56,1.41,1.53,0.29,2.41,4.25,0.01,0.000,,
6150,Okoro,Isaac,19.41,CLE,SG/SF,@ IND,27.00,8.54,1.04,3.98,1.60,1.02,0.66,0.80,2.05,1.32,0.49,3.09,3.15,0.01,0.000,,
5648,Boucher,Chris,19.19,TOR,PF/C,@ MEM,20.00,8.78,0.73,5.43,0.39,0.58,0.82,0.33,2.34,1.91,0.63,3.07,3.68,0.03,0.000,,
6363,Alvarado,Jose,18.96,NOR,PG,SAC,20.00,9.08,1.34,2.37,2.99,1.03,0.16,1.25,1.84,1.38,0.35,3.18,4.78,0.00,0.000,,
5098,McConnell,T.J.,18.89,IND,PG,CLE,18.00,7.16,0.21,2.45,4.91,0.90,0.11,1.68,2.93,0.67,0.09,3.14,2.76,0.01,0.000,,
5697,Wagner,Moritz,18.31,ORL,PF/C,@ CHA,16.00,9.50,0.81,4.41,1.44,0.47,0.15,1.06,2.39,2.29,0.41,3.20,3.00,0.01,0.000,,
5412,Prince,Taurean,18.30,MIN,SF,DEN,25.00,10.10,1.57,2.53,1.67,0.70,0.47,1.20,2.16,1.07,0.31,3.73,3.83,0.01,0.000,,
6293,Hyland,Bones,18.23,DEN,PG,@ MIN,15.00,10.79,1.93,1.83,2.08,0.59,0.24,1.21,1.70,1.60,0.23,3.63,5.09,0.01,0.000,,
5029,Lyles,Trey,18.03,SAC,PF,@ NOR,20.00,8.84,1.20,4.40,1.10,0.38,0.54,0.84,1.83,1.58,0.39,3.03,3.44,0.01,0.000,,
6049,Davis,Terence,18.00,SAC,SG,@ NOR,17.00,9.26,1.78,2.89,1.49,0.92,0.34,1.05,1.52,0.88,0.14,3.30,4.83,0.00,0.000,,
3923,Harris,Gary,17.99,ORL,SG,@ CHA,29.00,10.39,2.02,2.21,1.41,0.90,0.20,0.99,1.62,1.09,0.13,3.64,4.17,0.01,0.000,,
5038,Osman,Cedi,17.80,CLE,SF,@ IND,23.00,10.37,1.58,2.52,1.56,0.63,0.15,0.84,2.25,1.13,0.60,3.83,4.51,0.01,0.000,,
5967,Reid,Naz,17.22,MIN,C,DEN,15.00,8.79,0.81,3.73,0.78,0.56,0.80,1.07,2.59,1.18,0.51,3.40,3.42,0.01,0.000,,
6526,Braun,Christian,16.84,DEN,SG,@ MIN,26.00,7.91,0.82,3.82,1.43,0.64,0.41,1.02,2.35,0.75,0.43,3.17,3.55,0.01,0.000,,
3225,Smith,Ish,16.58,DEN,PG,@ MIN,18.00,6.65,0.31,2.46,3.67,0.58,0.43,1.65,2.79,0.14,0.10,3.10,4.11,0.00,0.000,,
5456,Smith Jr.,Dennis,16.54,CHA,PG,ORL,19.00,5.56,0.28,2.32,3.83,1.12,0.29,1.25,2.07,0.58,0.24,2.35,3.11,0.00,0.000,,
5670,Graham,Devonte',16.35,NOR,PG,SAC,18.00,7.73,1.84,1.75,2.56,0.83,0.18,0.70,0.53,1.15,0.32,2.37,3.34,0.00,0.000,,
6120,Nowell,Jaylen,16.32,MIN,SG,DEN,18.00,9.59,0.84,2.20,1.90,0.52,0.08,1.00,2.97,1.13,0.34,3.81,4.46,0.00,0.000,,
6334,Sims,Jericho,15.55,NYK,PF,PHI,20.00,4.24,0.00,6.46,0.76,0.33,0.89,0.70,2.05,0.14,0.10,2.05,0.55,0.00,0.000,,
6300,Mitchell,Davion,14.36,SAC,PG,@ NOR,24.00,7.05,0.96,1.65,2.42,0.57,0.32,1.29,1.90,0.37,0.14,2.86,3.59,0.00,0.000,,
4049,Theis,Daniel,14.14,IND,PF/C,CLE,16.00,6.11,0.48,4.16,0.76,0.39,0.52,0.74,1.93,0.81,0.37,2.41,2.29,0.00,0.000,Playing,
5714,Milton,Shake,13.89,PHI,PG,@ NYK,17.00,6.79,0.63,2.29,2.41,0.26,0.13,0.94,1.98,0.94,0.17,2.61,2.96,0.00,0.000,,
6308,Williams,Ziaire,13.49,MEM,SG,TOR,19.00,7.63,1.03,2.37,1.02,0.49,0.19,1.02,1.89,0.76,0.21,2.92,3.42,0.00,0.000,,
5478,Reed,Davon,13.46,DEN,SG,@ MIN,18.00,6.02,1.12,2.71,1.40,0.65,0.29,0.97,1.00,0.66,0.33,2.12,2.81,0.00,0.000,,
6114,Bol,Bol,13.36,ORL,PF/C,@ CHA,14.00,6.04,0.31,3.62,0.62,0.32,0.83,1.18,2.17,0.77,0.28,2.48,1.91,0.00,0.000,,
5235,Niang,Georges,13.19,PHI,PF,@ NYK,18.00,7.25,1.86,2.14,1.08,0.34,0.17,0.61,0.66,0.35,0.05,2.52,3.11,0.00,0.000,,
2841,Jordan,DeAndre,11.95,DEN,C,@ MIN,12.00,3.99,0.00,4.56,0.80,0.21,0.59,1.09,1.75,0.49,0.48,1.75,0.85,0.00,0.000,,
6516,Chandler,Kennedy,11.53,MEM,PG,TOR,15.00,4.47,0.41,1.66,2.54,0.67,0.11,1.18,1.41,0.42,0.28,1.82,2.43,0.00,0.000,Playing,
5907,Wade,Dean,11.34,CLE,PF,@ IND,17.00,4.89,0.99,2.68,0.72,0.61,0.23,0.31,0.75,0.42,0.23,1.74,2.02,0.00,0.000,,
5803,McLaughlin,Jordan,11.02,MIN,PG,DEN,12.00,3.67,0.52,1.13,2.93,0.65,0.12,0.52,0.86,0.39,0.07,1.38,1.50,0.00,0.000,Playing,
6079,Hayes,Jaxson,10.49,NOR,PF/C,SAC,12.00,4.66,0.15,2.67,0.70,0.27,0.55,0.54,1.54,1.13,0.42,1.69,1.37,0.00,0.000,,
2769,Young,Thaddeus,10.39,TOR,PF,@ MEM,13.00,3.19,0.09,2.75,1.23,0.96,0.15,0.70,1.35,0.22,0.12,1.44,1.40,0.00,0.000,,
5014,Harrell,Montrezl,10.04,PHI,PF/C,@ NYK,12.00,4.93,0.00,2.49,0.60,0.27,0.41,0.53,2.00,0.93,0.42,2.00,1.10,0.00,0.000,,
6016,Brissett,Oshae,10.03,IND,PF,CLE,13.00,4.44,0.63,2.68,0.47,0.54,0.17,0.41,0.80,0.95,0.41,1.43,2.09,0.00,0.000,,
6148,Toppin,Obi,9.78,NYK,PF,PHI,12.00,4.65,0.79,2.50,0.65,0.23,0.18,0.37,0.90,0.48,0.12,1.69,2.17,0.00,0.000,,
5453,Isaac,Jonathan,9.76,ORL,SF/PF,@ CHA,10.00,3.81,0.30,2.34,0.53,0.57,0.59,0.48,1.19,0.53,0.15,1.49,1.75,0.00,0.000,,
5722,Metu,Chimezie,9.64,SAC,C,@ NOR,10.00,4.74,0.19,2.66,0.49,0.34,0.18,0.60,1.79,0.59,0.15,1.98,1.46,0.00,0.000,,
6166,Flynn,Malachi,9.45,TOR,PG,@ MEM,12.00,4.44,0.88,1.46,1.37,0.35,0.08,0.34,0.77,0.26,0.08,1.65,2.57,0.00,0.000,,
