id,last_name,first_name,team,position
6496,Waters,Lindy,OKC,SF
3730,Neto,Raul,CLE,PG
3704,Dieng,Gorgui,SAS,PF/C
6459,Ryan,Matt,MIN,SF
5723,Walker,Lonnie,LAL,SG/SF
6503,Daniels,Dyson,NOR,PG
6508,Davis,Johnny,WAS,SG
6509,Dieng,Ousmane,OKC,SF
6639,White,Jack,DEN,SF
5550,Hill,Malcolm,CHI,SF
6641,Harris,Kevon,ORL,SF
6517,Liddell,E.J.,NOR,PF
6579,Swider,Cole,LAL,SF
6559,Gillespie,Collin,DEN,PG
3040,Mills,Patty,BKN,PG
6565,Pippen Jr.,Scotty,LAL,PG
6560,Martin,Tyrese,ATL,SF
6291,Johnson,Keon,POR,SG
2836,Hill,George,IND,PG/SG
6552,Seabron,Dereon,NOR,SG
2872,Westbrook,Russell,UTA,PG
6601,Cain,Jamal,MIA,SF
6544,Houstan,Caleb,ORL,SF
6543,Minott,Josh,MIN,PF
6542,Christie,Max,LAL,SG
6574,Mobley,Isaiah,CLE,PF
6576,Hudgins,Trevor,HOU,PG
6566,Champagnie,Julian,PHI,SF
6537,Rollins,Ryan,GSW,SG
6522,Terry,Dalen,CHI,PG
6296,Bouknight,James,CHA,SG
6156,Lewis,Kira,NOR,PG
6295,Johnson,Jalen,ATL,SF
6534,Moore,Wendell,MIN,SF
6531,Watson,Peyton,DEN,SF
6528,Keels,Trevor,NYK,SG
6524,Wesley,Blake,SAS,SG
6580,Bouyea,Jamaree,MIA,PG
5706,Robinson,Mitchell,NYK,C
6626,Days,Darius,HOU,C
6521,Jovic,Nikola,MIA,SF
6545,Barlow,Dominick,SAS,PF
5980,Martin,Cody,CHA,SF
6658,Jackson,Quenton,WAS,SG
2615,Lowry,Kyle,MIA,PG
6286,Springer,Jaden,PHI,PG
6380,Lawson,A.J.,DAL,SG
3506,Holiday,Justin,HOU,SG/SF
6536,Baldwin,Patrick,GSW,SF
6202,Carey Jr.,Vernon,WAS,C
5275,Arcidiacono,Ryan,POR,PG
5752,Robinson,Duncan,MIA,SG/SF
6242,Krejci,Vit,ATL,PG
6033,Schofield,Admiral,ORL,SF
6113,Porter,Kevin,HOU,PG/SG
6123,Okeke,Chuma,ORL,PF
3436,Barton,Will,WAS,SG/SF
2857,Rose,Derrick,NYK,PG
6222,Simonovic,Marko,CHI,C
6217,Forrest,Trent,ATL,SG
6214,Knight,Nathan,MIN,C
6211,Queen,Trevelin,IND,SG
6206,Stevens,Lamar,CLE,PF
6568,Juzang,Johnny,UTA,SF
5649,Kleber,Maxi,DAL,PF
6564,Butler,John,POR,C
5690,Holiday,Aaron,ATL,PG
6535,Brown,Kendall,IND,SF
5695,Mykhailiuk,Svi,CHA,SG
6180,Nnaji,Zeke,DEN,PF
3939,Nurkic,Jusuf,POR,C
5382,House,Danuel,PHI,SG/SF
5449,Ball,Lonzo,CHI,PG
6370,Goodwin,Jordan,WAS,SG
6360,Potter,Micah,UTA,C
5436,Korkmaz,Furkan,PHI,SG
6350,Omoruyi,Eugene,OKC,SF
5421,Jones,Damian,UTA,C
6339,Wiggins,Aaron,OKC,SG
6336,Garza,Luka,MIN,C
3575,Rivers,Austin,MIN,SG
6329,Sharpe,Day'Ron,BKN,C
6299,McBride,Miles,NYK,PG
5498,Sumner,Edmond,BKN,SG
5711,Bamba,Mo,LAL,C
5853,Green,Javonte,CHI,SG/SF
5478,Reed,Davon,LAL,SG
1789,Haslem,Udonis,MIA,PF
3475,Fournier,Evan,NYK,SG/SF
2848,Love,Kevin,CLE,PF
6316,Todd,Isaiah,WAS,PF
6177,Maledon,Theo,CHA,PG
6175,Bolmaro,Leandro,UTA,SG
6171,Smith,Jalen,IND,PF/C
5804,Watanabe,Yuta,BKN,SF
5017,Hernangomez,Willy,NOR,C
6223,Diakite,Mamadi,CLE,PF
5908,Windler,Dylan,CLE,SF
4048,Birch,Khem,SAS,C
6305,Jackson,Isaiah,IND,PF/C
6297,Jones,Kai,CHA,PF
6397,Sarr,Olivier,OKC,C
6283,Moody,Moses,GSW,SG
5916,Silva,Chris,DAL,PF
6376,Smith,Dru,BKN,PG
6309,Bassey,Charles,SAS,C
6362,Wright,McKinley,DAL,PG
6227,Lamb,Anthony,GSW,SF
6151,Hampton,R.J.,ORL,PG
6079,Hayes,Jaxson,NOR,PF/C
6190,Nwora,Jordan,IND,SF
5336,Payton II,Gary,GSW,PG
6249,Yurtseven,Omer,MIA,C
3921,Grant,Jerami,POR,SF/PF
2999,Curry,Stephen,GSW,PG
5014,Harrell,Montrezl,PHI,PF/C
3388,Morris,Markieff,DAL,PF
5026,Kaminsky,Frank,HOU,C
5949,Toscano-Anderson,Juan,UTA,PF
6427,Jones,Carlik,CHI,PG
5474,Bradley,Tony,CHI,C
5455,Ntilikina,Frank,DAL,PG
5748,Gabriel,Wenyen,LAL,SF
2847,Lopez,Robin,CLE,C
6094,Mathews,Garrison,ATL,SG/SF
5801,Pinson,Theo,DAL,SG
6080,Alexander-Walker,Nickeil,MIN,SG
3047,Green,Danny,CLE,SG/SF
6155,Vassell,Devin,SAS,SG/SF
2841,Jordan,DeAndre,DEN,C
6048,Fernando,Bruno,ATL,C
3011,Gibson,Taj,WAS,PF
6121,Williamson,Zion,NOR,PF
5994,King,Louis,PHI,PF
5983,Jeffries,DaQuan,NYK,SG
3225,Smith,Ish,DEN,PG
5519,Gill,Anthony,WAS,PF
5057,Winslow,Justise,POR,SF
5052,Towns,Karl-Anthony,MIN,PF/C
2289,Iguodala,Andre,GSW,SG/SF
5039,Oubre,Kelly,CHA,SG/SF/PF
3352,Bertans,Davis,DAL,PF
3076,Temple,Garrett,NOR,SG
6157,Pokusevski,Aleksej,OKC,PF/C
6727,Badji,Ibou,POR,C
6432,Duke,David,BKN,SG
3701,Antetokounmpo,Giannis,MIL,PF/C
5450,Tatum,Jayson,BOS,SF/PF
5433,Sabonis,Domantas,SAC,PF/C
3377,Leonard,Kawhi,LAC,SF/PF
5354,Siakam,Pascal,TOR,PF/C
3111,George,Paul,LAC,SG/SF
5002,Booker,Devin,PHO,PG/SG
3004,Holiday,Jrue,MIL,PG/SG
5452,Fox,De'Aaron,SAC,PG
5356,VanVleet,Fred,TOR,PG/SG
5716,Ayton,Deandre,PHO,C
2464,Paul,Chris,PHO,PG
6285,Barnes,Scottie,TOR,SF/PF
3949,Smart,Marcus,BOS,PG/SG
6163,Achiuwa,Precious,TOR,PF/C
5308,Brogdon,Malcolm,BOS,PG/SG
2846,Lopez,Brook,MIL,C
5044,Powell,Norman,LAC,SG/SF
3551,Middleton,Khris,MIL,SF
3435,Barnes,Harrison,SAC,SF/PF
5577,Craig,Torrey,PHO,SF/PF
5042,Portis,Bobby,MIL,PF/C
5355,Poeltl,Jakob,TOR,C
5719,Trent,Gary,TOR,SG
2730,Horford,Al,BOS,PF/C
5475,White,Derrick,BOS,PG/SG
5361,Zubac,Ivica,LAC,C
5458,Monk,Malik,SAC,SG/SF
5662,Huerter,Kevin,SAC,SG
5648,Boucher,Chris,TOR,PF/C
6502,Murray,Keegan,SAC,PF
3387,Morris,Marcus,LAC,SF/PF
3675,Plumlee,Mason,LAC,C
6015,Mann,Terance,LAC,SG/SF
6009,Williams,Grant,BOS,PF
3956,Warren,T.J.,PHO,SF
5006,Connaughton,Pat,MIL,SG/SF
5724,Allen,Grayson,MIL,SG
5701,Okogie,Josh,PHO,SG/SF
6293,Hyland,Bones,LAC,PG
3456,Crowder,Jae,MIL,SF/PF
6345,Hauser,Sam,BOS,SF
5040,Payne,Cam,PHO,PG
5029,Lyles,Trey,SAC,PF
5249,Lee,Damion,PHO,SG/SF
2828,Gordon,Eric,LAC,SG/SF
3672,Muscala,Mike,BOS,C
5728,Landale,Jock,PHO,C
5713,Shamet,Landry,PHO,SG
2769,Young,Thaddeus,TOR,PF
5699,Carter,Jevon,MIL,PG
3242,Ingles,Joe,MIL,SF
6049,Davis,Terence,SAC,SG
5722,Metu,Chimezie,SAC,C
2810,Batum,Nicolas,LAC,SG/SF
2997,Griffin,Blake,BOS,PF/C
6184,Pritchard,Payton,BOS,PG
6300,Mitchell,Davion,SAC,PG
6166,Flynn,Malachi,TOR,PG
6558,Ellis,Keon,SAC,SG
3902,Antetokounmpo,Thanasis,MIL,SF
6210,Lee,Saben,PHO,PG
5266,Brown,Jaylen,BOS,SG/SF
6520,Beauchamp,MarJon,MIL,SG
6068,Bazley,Darius,PHO,SF/PF
6547,Davison,J.D.,BOS,PG
2718,Durant,Kevin,PHO,SF/PF
5668,Williams,Robert,BOS,PF/C
6118,Okpala,KZ,SAC,SF
3089,Matthews,Wesley,MIL,SF
5510,Kornet,Luke,BOS,C
6318,Wieskamp,Joe,TOR,SF
6328,Mamukelashvili,Sandro,MIL,C
5469,Anunoby,O.G.,TOR,SF
6388,Dowtin,Jeff,TOR,PG
6567,Diabate,Moussa,LAC,PF
3766,Covington,Robert,LAC,SF/PF
3775,Dellavedova,Matthew,SAC,PG
6337,Banton,Dalano,TOR,PG
6014,Kabengele,Mfiondu,BOS,PF
6403,Wainright,Ish,PHO,PF
6013,Coffey,Amir,LAC,SG
6022,Brown,Moses,LAC,C
3731,Porter,Otto,TOR,SF
6314,Boston Jr.,Brandon,LAC,SG
6583,Green,AJ,MIL,SG
3581,Ross,Terrence,PHO,SG/SF
3720,Len,Alex,SAC,C
5343,Hernangomez,Juan,TOR,PF
2824,Gallinari,Danilo,BOS,SF/PF
3353,Biyombo,Bismack,PHO,C
6554,Harper Jr.,Ron,TOR,SF
6311,Edwards,Kessler,SAC,SF
6312,Queta,Neemias,SAC,C
6313,Preston,Jason,LAC,PG
6540,Koloko,Christian,TOR,C
5021,Holmes,Richaun,SAC,PF/C
6117,Morant,Ja,MEM,PG
6164,Bane,Desmond,MEM,SG
5698,Jackson Jr.,Jaren,MEM,PF/C
3354,Bogdanovic,Bojan,DET,PF
6507,Duren,Jalen,DET,C
6153,Hayes,Killian,DET,PG
6501,Ivey,Jaden,DET,PG/SG
6170,Stewart,Isaiah,DET,PF/C
6168,Tillman,Xavier,MEM,PF/C
5491,Brooks,Dillon,MEM,SG/SF
6067,Clarke,Brandon,MEM,PF/C
5025,Jones,Tyus,MEM,PG
6146,Wiseman,James,DET,C
3356,Burks,Alec,DET,SG
6327,Aldama,Santi,MEM,PF
5669,Diallo,Hamidou,DET,SG
6325,Livers,Isaiah,DET,PF
