Entry ID,Contest Name,Contest ID,Entry Fee,PG,SG,SF,PF,C,G,F,UTIL,,Instructions,,,,,,,,
,,,,,,,,,,,,,PF,Jeff Green (26728095),Jeff Green,26728095,PF/F/UTIL,3300,DEN@CLE 02/23/2023 07:00PM ET,DEN,13.86
,,,,,,,,,,,,,PF/C,Bol Bol (26728110),Bol Bol,26728110,PF/C/F/UTIL,3300,DET@ORL 02/23/2023 07:00PM ET,ORL,22.54
,,,,,,,,,,,,,C,Charles Bassey (26728088),Charles Bassey,26728088,C/UTIL,3300,SAS@DAL 02/23/2023 08:30PM ET,SAS,15.46
,,,,,,,,,,,,,SG,Jaden Hardy (26728107),Jaden Hardy,26728107,SG/G/UTIL,3300,SAS@DAL 02/23/2023 08:30PM ET,DAL,10.2
,,,,,,,,,,,,,SG/SF,Chris Duarte (26728102),Chris Duarte,26728102,SG/SF/F/G/UTIL,3300,BOS@IND 02/23/2023 07:00PM ET,IND,14.71
,,,,,,,,,,,,,PF,Dario Saric (26728114),Dario Saric,26728114,PF/F/UTIL,3300,OKC@UTA 02/23/2023 09:00PM ET,OKC,13.97
,,,,,,,,,,,,,SF/PF,Troy Brown Jr. (26728098),Troy Brown Jr.,26728098,SF/PF/F/UTIL,3300,GSW@LAL 02/23/2023 10:00PM ET,LAL,16.13
,,,,,,,,,,,,,C,Trendon Watford (26728117),Trendon Watford,26728117,C/UTIL,3300,POR@SAC 02/23/2023 10:00PM ET,POR,12.92
,,,,,,,,,,,,,SF/PF,Isaiah Livers (26728137),Isaiah Livers,26728137,SF/PF/F/UTIL,3200,DET@ORL 02/23/2023 07:00PM ET,DET,11.84
,,,,,,,,,,,,,C,Jeremiah Robinson-Earl (26728133),Jeremiah Robinson-Earl,26728133,C/UTIL,3200,OKC@UTA 02/23/2023 09:00PM ET,OKC,18.15
,,,,,,,,,,,,,SF/PF,Simone Fontecchio (26728141),Simone Fontecchio,26728141,SF/PF/F/UTIL,3200,OKC@UTA 02/23/2023 09:00PM ET,UTA,6.57
,,,,,,,,,,,,,SF/PF,Jalen McDaniels (26728127),Jalen McDaniels,26728127,SF/PF/F/UTIL,3200,MEM@PHI 02/23/2023 07:30PM ET,PHI,22.49
,,,,,,,,,,,,,PG/SG,Austin Reaves (26728119),Austin Reaves,26728119,PG/SG/G/UTIL,3200,GSW@LAL 02/23/2023 10:00PM ET,LAL,19.16
,,,,,,,,,,,,,C,Mo Bamba (26728135),Mo Bamba,26728135,C/UTIL,3200,GSW@LAL 02/23/2023 10:00PM ET,LAL,17.4
,,,,,,,,,,,,,PF/C,Trey Lyles (26728123),Trey Lyles,26728123,PF/C/F/UTIL,3200,POR@SAC 02/23/2023 10:00PM ET,SAC,14.74
,,,,,,,,,,,,,C,Thomas Bryant (26728131),Thomas Bryant,26728131,C/UTIL,3100,DEN@CLE 02/23/2023 07:00PM ET,DEN,22.7
,,,,,,,,,,,,,SF/PF,Cedi Osman (26728153),Cedi Osman,26728153,SF/PF/F/UTIL,3100,DEN@CLE 02/23/2023 07:00PM ET,CLE,15.69
,,,,,,,,,,,,,PG,Ish Smith (26728166),Ish Smith,26728166,PG/G/UTIL,3100,DEN@CLE 02/23/2023 07:00PM ET,DEN,8.48
,,,,,,,,,,,,,PG,Cory Joseph (26728172),Cory Joseph,26728172,PG/G/UTIL,3100,DET@ORL 02/23/2023 07:00PM ET,DET,12.29
,,,,,,,,,,,,,SF,Doug McDermott (26728145),Doug McDermott,26728145,SF/F/UTIL,3100,SAS@DAL 02/23/2023 08:30PM ET,SAS,15.95
,,,,,,,,,,,,,SF,Aaron Wiggins (26728169),Aaron Wiggins,26728169,SF/F/UTIL,3100,OKC@UTA 02/23/2023 09:00PM ET,OKC,13.64
,,,,,,,,,,,,,PF,Georges Niang (26728161),Georges Niang,26728161,PF/F/UTIL,3100,MEM@PHI 02/23/2023 07:30PM ET,PHI,15.57
,,,,,,,,,,,,,SG/SF,John Konchar (26728175),John Konchar,26728175,SG/SF/F/G/UTIL,3100,MEM@PHI 02/23/2023 07:30PM ET,MEM,16.78
,,,,,,,,,,,,,SG/SF,Lonnie Walker IV (26728148),Lonnie Walker IV,26728148,SG/SF/F/G/UTIL,3100,GSW@LAL 02/23/2023 10:00PM ET,LAL,20.15
,,,,,,,,,,,,,C,JaMychal Green (26728164),JaMychal Green,26728164,C/UTIL,3100,GSW@LAL 02/23/2023 10:00PM ET,GSW,14.32
,,,,,,,,,,,,,PG/SG,Davion Mitchell (26728157),Davion Mitchell,26728157,PG/SG/G/UTIL,3100,POR@SAC 02/23/2023 10:00PM ET,SAC,11.76
,,,,,,,,,,,,,PG,Raul Neto (26728205),Raul Neto,26728205,PG/G/UTIL,3000,DEN@CLE 02/23/2023 07:00PM ET,CLE,7.24
,,,,,,,,,,,,,C,Robin Lopez (26728208),Robin Lopez,26728208,C/UTIL,3000,DEN@CLE 02/23/2023 07:00PM ET,CLE,5.22
,,,,,,,,,,,,,PF/C,Dean Wade (26728210),Dean Wade,26728210,PF/C/F/UTIL,3000,DEN@CLE 02/23/2023 07:00PM ET,CLE,14.18
,,,,,,,,,,,,,PF,Kevin Love (26728214),Kevin Love,26728214,PF/F/UTIL,3000,DEN@CLE 02/23/2023 07:00PM ET,CLE,20.92
,,,,,,,,,,,,,SF,Dylan Windler (26728217),Dylan Windler,26728217,SF/F/UTIL,3000,DEN@CLE 02/23/2023 07:00PM ET,CLE,0
,,,,,,,,,,,,,SG/SF,Danny Green (26728220),Danny Green,26728220,SG/SF/F/G/UTIL,3000,DEN@CLE 02/23/2023 07:00PM ET,CLE,6.44
,,,,,,,,,,,,,PF/C,Isaiah Mobley (26728225),Isaiah Mobley,26728225,PF/C/F/UTIL,3000,DEN@CLE 02/23/2023 07:00PM ET,CLE,3.16
,,,,,,,,,,,,,SF/PF,Lamar Stevens (26728229),Lamar Stevens,26728229,SF/PF/F/UTIL,3000,DEN@CLE 02/23/2023 07:00PM ET,CLE,11.04
,,,,,,,,,,,,,PF/C,Mamadi Diakite (26728233),Mamadi Diakite,26728233,PF/C/F/UTIL,3000,DEN@CLE 02/23/2023 07:00PM ET,CLE,3.69
,,,,,,,,,,,,,C,DeAndre Jordan (26728421),DeAndre Jordan,26728421,C/UTIL,3000,DEN@CLE 02/23/2023 07:00PM ET,DEN,13.62
,,,,,,,,,,,,,SG,Peyton Watson (26728423),Peyton Watson,26728423,SG/G/UTIL,3000,DEN@CLE 02/23/2023 07:00PM ET,DEN,2.67
,,,,,,,,,,,,,PF,Jack White (26728426),Jack White,26728426,PF/F/UTIL,3000,DEN@CLE 02/23/2023 07:00PM ET,DEN,1.91
,,,,,,,,,,,,,PF/C,Zeke Nnaji (26728429),Zeke Nnaji,26728429,PF/C/F/UTIL,3000,DEN@CLE 02/23/2023 07:00PM ET,DEN,9.84
,,,,,,,,,,,,,PG,Collin Gillespie (26728433),Collin Gillespie,26728433,PG/G/UTIL,3000,DEN@CLE 02/23/2023 07:00PM ET,DEN,0
,,,,,,,,,,,,,SF/PF,Caleb Houstan (26728329),Caleb Houstan,26728329,SF/PF/F/UTIL,3000,DET@ORL 02/23/2023 07:00PM ET,ORL,8.72
,,,,,,,,,,,,,PF,Admiral Schofield (26728333),Admiral Schofield,26728333,PF/F/UTIL,3000,DET@ORL 02/23/2023 07:00PM ET,ORL,9.13
,,,,,,,,,,,,,SG,Kevon Harris (26728336),Kevon Harris,26728336,SG/G/UTIL,3000,DET@ORL 02/23/2023 07:00PM ET,ORL,7.81
,,,,,,,,,,,,,C,Goga Bitadze (26728339),Goga Bitadze,26728339,C/UTIL,3000,DET@ORL 02/23/2023 07:00PM ET,ORL,9.18
,,,,,,,,,,,,,PG,R.J. Hampton (26728341),R.J. Hampton,26728341,PG/G/UTIL,3000,DET@ORL 02/23/2023 07:00PM ET,ORL,11.05
,,,,,,,,,,,,,SF/PF,Jonathan Isaac (26728344),Jonathan Isaac,26728344,SF/PF/F/UTIL,3000,DET@ORL 02/23/2023 07:00PM ET,ORL,12.98
,,,,,,,,,,,,,SG/SF,Rodney McGruder (26728510),Rodney McGruder,26728510,SG/SF/F/G/UTIL,3000,DET@ORL 02/23/2023 07:00PM ET,DET,6.6
,,,,,,,,,,,,,PF,Jared Rhoden (26728515),Jared Rhoden,26728515,PF/F/UTIL,3000,DET@ORL 02/23/2023 07:00PM ET,DET,3.25
,,,,,,,,,,,,,SF,Stanley Umude (26728518),Stanley Umude,26728518,SF/F/UTIL,3000,DET@ORL 02/23/2023 07:00PM ET,DET,6
,,,,,,,,,,,,,SG/SF,Buddy Boeheim (26728521),Buddy Boeheim,26728521,SG/SF/F/G/UTIL,3000,DET@ORL 02/23/2023 07:00PM ET,DET,0
,,,,,,,,,,,,,C,Nerlens Noel (26728526),Nerlens Noel,26728526,C/UTIL,3000,DET@ORL 02/23/2023 07:00PM ET,DET,9.23
,,,,,,,,,,,,,PG,Cade Cunningham (26728528),Cade Cunningham,26728528,PG/G/UTIL,3000,DET@ORL 02/23/2023 07:00PM ET,DET,38.92
,,,,,,,,,,,,,SF,Dereon Seabron (26728182),Dereon Seabron,26728182,SF/F/UTIL,3000,NOP@TOR 02/23/2023 07:30PM ET,NOP,1.05
,,,,,,,,,,,,,SF,Juancho Hernangomez (26728372),Juancho Hernangomez,26728372,SF/F/UTIL,3000,NOP@TOR 02/23/2023 07:30PM ET,TOR,8.71
,,,,,,,,,,,,,PG/SG,Jeff Dowtin (26728375),Jeff Dowtin,26728375,PG/SG/G/UTIL,3000,NOP@TOR 02/23/2023 07:30PM ET,TOR,4.7
,,,,,,,,,,,,,PG/SG,Malachi Flynn (26728379),Malachi Flynn,26728379,PG/SG/G/UTIL,3000,NOP@TOR 02/23/2023 07:30PM ET,TOR,10.14
,,,,,,,,,,,,,SF,Ron Harper Jr. (26728383),Ron Harper Jr.,26728383,SF/F/UTIL,3000,NOP@TOR 02/23/2023 07:30PM ET,TOR,3.83
,,,,,,,,,,,,,C,Christian Koloko (26728386),Christian Koloko,26728386,C/UTIL,3000,NOP@TOR 02/23/2023 07:30PM ET,TOR,10.82
,,,,,,,,,,,,,PG/SF,Joe Wieskamp (26728388),Joe Wieskamp,26728388,PG/SF/F/G/UTIL,3000,NOP@TOR 02/23/2023 07:30PM ET,TOR,5.75
,,,,,,,,,,,,,PG/SG,Dalano Banton (26728393),Dalano Banton,26728393,PG/SG/G/UTIL,3000,NOP@TOR 02/23/2023 07:30PM ET,TOR,9.78
,,,,,,,,,,,,,PF,Thaddeus Young (26728397),Thaddeus Young,26728397,PF/F/UTIL,3000,NOP@TOR 02/23/2023 07:30PM ET,TOR,13.42
,,,,,,,,,,,,,SF,Otto Porter Jr. (26728400),Otto Porter Jr.,26728400,SF/F/UTIL,3000,NOP@TOR 02/23/2023 07:30PM ET,TOR,12.84
,,,,,,,,,,,,,PF/C,Jaxson Hayes (26728559),Jaxson Hayes,26728559,PF/C/F/UTIL,3000,NOP@TOR 02/23/2023 07:30PM ET,NOP,10.93
,,,,,,,,,,,,,PG/SF,Garrett Temple (26728563),Garrett Temple,26728563,PG/SF/F/G/UTIL,3000,NOP@TOR 02/23/2023 07:30PM ET,NOP,5.21
,,,,,,,,,,,,,PG/SG,Kira Lewis Jr. (26728568),Kira Lewis Jr.,26728568,PG/SG/G/UTIL,3000,NOP@TOR 02/23/2023 07:30PM ET,NOP,10.25
,,,,,,,,,,,,,PF,E.J. Liddell (26728572),E.J. Liddell,26728572,PF/F/UTIL,3000,NOP@TOR 02/23/2023 07:30PM ET,NOP,0
,,,,,,,,,,,,,C,JaVale McGee (26728262),JaVale McGee,26728262,C/UTIL,3000,SAS@DAL 02/23/2023 08:30PM ET,DAL,8.7
,,,,,,,,,,,,,C,Markieff Morris (26728264),Markieff Morris,26728264,C/UTIL,3000,SAS@DAL 02/23/2023 08:30PM ET,DAL,8.81
,,,,,,,,,,,,,PG/SG,Frank Ntilikina (26728266),Frank Ntilikina,26728266,PG/SG/G/UTIL,3000,SAS@DAL 02/23/2023 08:30PM ET,DAL,6.28
,,,,,,,,,,,,,SG/SF,Justin Holiday (26728270),Justin Holiday,26728270,SG/SF/F/G/UTIL,3000,SAS@DAL 02/23/2023 08:30PM ET,DAL,8.26
,,,,,,,,,,,,,SG,AJ Lawson (26728275),AJ Lawson,26728275,SG/G/UTIL,3000,SAS@DAL 02/23/2023 08:30PM ET,DAL,4.08
,,,,,,,,,,,,,SF,Theo Pinson (26728278),Theo Pinson,26728278,SF/F/UTIL,3000,SAS@DAL 02/23/2023 08:30PM ET,DAL,5.1
,,,,,,,,,,,,,PG,McKinley Wright IV (26728281),McKinley Wright IV,26728281,PG/G/UTIL,3000,SAS@DAL 02/23/2023 08:30PM ET,DAL,8.05
,,,,,,,,,,,,,PF,Davis Bertans (26728284),Davis Bertans,26728284,PF/F/UTIL,3000,SAS@DAL 02/23/2023 08:30PM ET,DAL,6.85
,,,,,,,,,,,,,PF/C,Maxi Kleber (26728287),Maxi Kleber,26728287,PF/C/F/UTIL,3000,SAS@DAL 02/23/2023 08:30PM ET,DAL,14.98
,,,,,,,,,,,,,SF/PF,Dominick Barlow (26728449),Dominick Barlow,26728449,SF/PF/F/UTIL,3000,SAS@DAL 02/23/2023 08:30PM ET,SAS,7.92
,,,,,,,,,,,,,C,Gorgui Dieng (26728453),Gorgui Dieng,26728453,C/UTIL,3000,SAS@DAL 02/23/2023 08:30PM ET,SAS,9.96
,,,,,,,,,,,,,SG/SF,Julian Champagnie (26728455),Julian Champagnie,26728455,SG/SF/F/G/UTIL,3000,SAS@DAL 02/23/2023 08:30PM ET,SAS,1
,,,,,,,,,,,,,PG/SG,Blake Wesley (26728460),Blake Wesley,26728460,PG/SG/G/UTIL,3000,SAS@DAL 02/23/2023 08:30PM ET,SAS,8.23
,,,,,,,,,,,,,PF/C,Isaiah Roby (26728464),Isaiah Roby,26728464,PF/C/F/UTIL,3000,SAS@DAL 02/23/2023 08:30PM ET,SAS,9.66
,,,,,,,,,,,,,C,Khem Birch (26728468),Khem Birch,26728468,C/UTIL,3000,SAS@DAL 02/23/2023 08:30PM ET,SAS,5.06
,,,,,,,,,,,,,PF/C,James Johnson (26728237),James Johnson,26728237,PF/C/F/UTIL,3000,BOS@IND 02/23/2023 07:00PM ET,IND,6.12
,,,,,,,,,,,,,PG/SG,George Hill (26728241),George Hill,26728241,PG/SG/G/UTIL,3000,BOS@IND 02/23/2023 07:00PM ET,IND,12.12
,,,,,,,,,,,,,PG,Trevelin Queen (26728245),Trevelin Queen,26728245,PG/G/UTIL,3000,BOS@IND 02/23/2023 07:00PM ET,IND,8.96
,,,,,,,,,,,,,PF,Oshae Brissett (26728248),Oshae Brissett,26728248,PF/F/UTIL,3000,BOS@IND 02/23/2023 07:00PM ET,IND,12.22
,,,,,,,,,,,,,SF,Kendall Brown (26728251),Kendall Brown,26728251,SF/F/UTIL,3000,BOS@IND 02/23/2023 07:00PM ET,IND,4.67
,,,,,,,,,,,,,PF/C,Jalen Smith (26728254),Jalen Smith,26728254,PF/C/F/UTIL,3000,BOS@IND 02/23/2023 07:00PM ET,IND,19.69
,,,,,,,,,,,,,SF/PF,Jordan Nwora (26728258),Jordan Nwora,26728258,SF/PF/F/UTIL,3000,BOS@IND 02/23/2023 07:00PM ET,IND,12.33
,,,,,,,,,,,,,PF/C,Luke Kornet (26728436),Luke Kornet,26728436,PF/C/F/UTIL,3000,BOS@IND 02/23/2023 07:00PM ET,BOS,10.45
,,,,,,,,,,,,,PG,JD Davison (26728440),JD Davison,26728440,PG/G/UTIL,3000,BOS@IND 02/23/2023 07:00PM ET,BOS,1.58
,,,,,,,,,,,,,SF,Danilo Gallinari (26728443),Danilo Gallinari,26728443,SF/F/UTIL,3000,BOS@IND 02/23/2023 07:00PM ET,BOS,0
,,,,,,,,,,,,,PF,Mfiondu Kabengele (26728446),Mfiondu Kabengele,26728446,PF/F/UTIL,3000,BOS@IND 02/23/2023 07:00PM ET,BOS,3.88
,,,,,,,,,,,,,C,Olivier Sarr (26728180),Olivier Sarr,26728180,C/UTIL,3000,OKC@UTA 02/23/2023 09:00PM ET,OKC,0
,,,,,,,,,,,,,PF,Juan Toscano-Anderson (26728291),Juan Toscano-Anderson,26728291,PF/F/UTIL,3000,OKC@UTA 02/23/2023 09:00PM ET,UTA,7.91
,,,,,,,,,,,,,C,Damian Jones (26728294),Damian Jones,26728294,C/UTIL,3000,OKC@UTA 02/23/2023 09:00PM ET,UTA,7.4
,,,,,,,,,,,,,SG,Johnny Juzang (26728296),Johnny Juzang,26728296,SG/G/UTIL,3000,OKC@UTA 02/23/2023 09:00PM ET,UTA,0
,,,,,,,,,,,,,C,Udoka Azubuike (26728299),Udoka Azubuike,26728299,C/UTIL,3000,OKC@UTA 02/23/2023 09:00PM ET,UTA,5.35
,,,,,,,,,,,,,PF,Rudy Gay (26728301),Rudy Gay,26728301,PF/F/UTIL,3000,OKC@UTA 02/23/2023 09:00PM ET,UTA,11.2
,,,,,,,,,,,,,C,Micah Potter (26728304),Micah Potter,26728304,C/UTIL,3000,OKC@UTA 02/23/2023 09:00PM ET,UTA,3.58
,,,,,,,,,,,,,SG,Lindy Waters III (26728470),Lindy Waters III,26728470,SG/G/UTIL,3000,OKC@UTA 02/23/2023 09:00PM ET,OKC,8.77
,,,,,,,,,,,,,PG/SG,Tre Mann (26728473),Tre Mann,26728473,PG/SG/G/UTIL,3000,OKC@UTA 02/23/2023 09:00PM ET,OKC,15
,,,,,,,,,,,,,SF/PF,Ousmane Dieng (26728477),Ousmane Dieng,26728477,SF/PF/F/UTIL,3000,OKC@UTA 02/23/2023 09:00PM ET,OKC,10.62
,,,,,,,,,,,,,PF/C,Eugene Omoruyi (26728481),Eugene Omoruyi,26728481,PF/C/F/UTIL,3000,OKC@UTA 02/23/2023 09:00PM ET,OKC,9.5
,,,,,,,,,,,,,C,Chet Holmgren (26728485),Chet Holmgren,26728485,C/UTIL,3000,OKC@UTA 02/23/2023 09:00PM ET,OKC,0
,,,,,,,,,,,,,C,Paul Reed (26728185),Paul Reed,26728185,C/UTIL,3000,MEM@PHI 02/23/2023 07:30PM ET,PHI,9.97
,,,,,,,,,,,,,SF,Danuel House Jr. (26728348),Danuel House Jr.,26728348,SF/F/UTIL,3000,MEM@PHI 02/23/2023 07:30PM ET,PHI,8.51
,,,,,,,,,,,,,PG/SG,Shake Milton (26728351),Shake Milton,26728351,PG/SG/G/UTIL,3000,MEM@PHI 02/23/2023 07:30PM ET,PHI,17.9
,,,,,,,,,,,,,PF,Louis King (26728355),Louis King,26728355,PF/F/UTIL,3000,MEM@PHI 02/23/2023 07:30PM ET,PHI,0
,,,,,,,,,,,,,C,Dewayne Dedmon (26728358),Dewayne Dedmon,26728358,C/UTIL,3000,MEM@PHI 02/23/2023 07:30PM ET,PHI,12.31
,,,,,,,,,,,,,PF,P.J. Tucker (26728360),P.J. Tucker,26728360,PF/F/UTIL,3000,MEM@PHI 02/23/2023 07:30PM ET,PHI,10.9
,,,,,,,,,,,,,PG,Mac McClung (26728363),Mac McClung,26728363,PG/G/UTIL,3000,MEM@PHI 02/23/2023 07:30PM ET,PHI,0
,,,,,,,,,,,,,SG,Jaden Springer (26728366),Jaden Springer,26728366,SG/G/UTIL,3000,MEM@PHI 02/23/2023 07:30PM ET,PHI,4.96
,,,,,,,,,,,,,SG,Furkan Korkmaz (26728369),Furkan Korkmaz,26728369,SG/G/UTIL,3000,MEM@PHI 02/23/2023 07:30PM ET,PHI,6.99
,,,,,,,,,,,,,SG/SF,Luke Kennard (26728531),Luke Kennard,26728531,SG/SF/F/G/UTIL,3000,MEM@PHI 02/23/2023 07:30PM ET,MEM,13.96
,,,,,,,,,,,,,PF/C,Kenneth Lofton Jr. (26728536),Kenneth Lofton Jr.,26728536,PF/C/F/UTIL,3000,MEM@PHI 02/23/2023 07:30PM ET,MEM,3.53
,,,,,,,,,,,,,PG,Kennedy Chandler (26728540),Kennedy Chandler,26728540,PG/G/UTIL,3000,MEM@PHI 02/23/2023 07:30PM ET,MEM,7.85
,,,,,,,,,,,,,SG/SF,David Roddy (26728543),David Roddy,26728543,SG/SF/F/G/UTIL,3000,MEM@PHI 02/23/2023 07:30PM ET,MEM,12.12
,,,,,,,,,,,,,SG,Vince Williams Jr. (26728548),Vince Williams Jr.,26728548,SG/G/UTIL,3000,MEM@PHI 02/23/2023 07:30PM ET,MEM,3.36
,,,,,,,,,,,,,PF,Jake LaRavia (26728551),Jake LaRavia,26728551,PF/F/UTIL,3000,MEM@PHI 02/23/2023 07:30PM ET,MEM,7.82
,,,,,,,,,,,,,SG/SF,Ziaire Williams (26728554),Ziaire Williams,26728554,SG/SF/F/G/UTIL,3000,MEM@PHI 02/23/2023 07:30PM ET,MEM,11.38
,,,,,,,,,,,,,PF/C,Wenyen Gabriel (26728187),Wenyen Gabriel,26728187,PF/C/F/UTIL,3000,GSW@LAL 02/23/2023 10:00PM ET,LAL,13.39
,,,,,,,,,,,,,SG,Max Christie (26728191),Max Christie,26728191,SG/G/UTIL,3000,GSW@LAL 02/23/2023 10:00PM ET,LAL,8.1
,,,,,,,,,,,,,PF,Cole Swider (26728194),Cole Swider,26728194,PF/F/UTIL,3000,GSW@LAL 02/23/2023 10:00PM ET,LAL,4.21
,,,,,,,,,,,,,SG/SF,Davon Reed (26728197),Davon Reed,26728197,SG/SF/F/G/UTIL,3000,GSW@LAL 02/23/2023 10:00PM ET,LAL,5.94
,,,,,,,,,,,,,PG,Scotty Pippen Jr. (26728202),Scotty Pippen Jr.,26728202,PG/G/UTIL,3000,GSW@LAL 02/23/2023 10:00PM ET,LAL,4.58
,,,,,,,,,,,,,SG,Moses Moody (26728403),Moses Moody,26728403,SG/G/UTIL,3000,GSW@LAL 02/23/2023 10:00PM ET,GSW,9.37
,,,,,,,,,,,,,PF,Anthony Lamb (26728406),Anthony Lamb,26728406,PF/F/UTIL,3000,GSW@LAL 02/23/2023 10:00PM ET,GSW,15.52
,,,,,,,,,,,,,PF,Patrick Baldwin Jr. (26728409),Patrick Baldwin Jr.,26728409,PF/F/UTIL,3000,GSW@LAL 02/23/2023 10:00PM ET,GSW,8.27
,,,,,,,,,,,,,SF,Andre Iguodala (26728412),Andre Iguodala,26728412,SF/F/UTIL,3000,GSW@LAL 02/23/2023 10:00PM ET,GSW,8.42
,,,,,,,,,,,,,PG,Gary Payton II (26728415),Gary Payton II,26728415,PG/G/UTIL,3000,GSW@LAL 02/23/2023 10:00PM ET,GSW,11.68
,,,,,,,,,,,,,PG,Ryan Rollins (26728418),Ryan Rollins,26728418,PG/G/UTIL,3000,GSW@LAL 02/23/2023 10:00PM ET,GSW,3.71
,,,,,,,,,,,,,C,Richaun Holmes (26728306),Richaun Holmes,26728306,C/UTIL,3000,POR@SAC 02/23/2023 10:00PM ET,SAC,6.98
,,,,,,,,,,,,,PG,Matthew Dellavedova (26728308),Matthew Dellavedova,26728308,PG/G/UTIL,3000,POR@SAC 02/23/2023 10:00PM ET,SAC,4.31
,,,,,,,,,,,,,C,Alex Len (26728311),Alex Len,26728311,C/UTIL,3000,POR@SAC 02/23/2023 10:00PM ET,SAC,2.86
,,,,,,,,,,,,,PG/SG,Keon Ellis (26728313),Keon Ellis,26728313,PG/SG/G/UTIL,3000,POR@SAC 02/23/2023 10:00PM ET,SAC,4.47
,,,,,,,,,,,,,SF/PF,Kessler Edwards (26728317),Kessler Edwards,26728317,SF/PF/F/UTIL,3000,POR@SAC 02/23/2023 10:00PM ET,SAC,3.12
,,,,,,,,,,,,,C,Neemias Queta (26728321),Neemias Queta,26728321,C/UTIL,3000,POR@SAC 02/23/2023 10:00PM ET,SAC,6.56
,,,,,,,,,,,,,C,Chimezie Metu (26728323),Chimezie Metu,26728323,C/UTIL,3000,POR@SAC 02/23/2023 10:00PM ET,SAC,10.78
,,,,,,,,,,,,,SF/PF,KZ Okpala (26728325),KZ Okpala,26728325,SF/PF/F/UTIL,3000,POR@SAC 02/23/2023 10:00PM ET,SAC,3.89
,,,,,,,,,,,,,PG,Ryan Arcidiacono (26728487),Ryan Arcidiacono,26728487,PG/G/UTIL,3000,POR@SAC 02/23/2023 10:00PM ET,POR,1.12
,,,,,,,,,,,,,PF/C,Jabari Walker (26728490),Jabari Walker,26728490,PF/C/F/UTIL,3000,POR@SAC 02/23/2023 10:00PM ET,POR,6.62
,,,,,,,,,,,,,C,John Butler (26728494),John Butler,26728494,C/UTIL,3000,POR@SAC 02/23/2023 10:00PM ET,POR,1.25
,,,,,,,,,,,,,SF/PF,Kevin Knox II (26728496),Kevin Knox II,26728496,SF/PF/F/UTIL,3000,POR@SAC 02/23/2023 10:00PM ET,POR,10.45
,,,,,,,,,,,,,SG/SF,Keon Johnson (26728500),Keon Johnson,26728500,SG/SF/F/G/UTIL,3000,POR@SAC 02/23/2023 10:00PM ET,POR,7.98
,,,,,,,,,,,,,C,Ibou Badji (26728505),Ibou Badji,26728505,C/UTIL,3000,POR@SAC 02/23/2023 10:00PM ET,POR,0
,,,,,,,,,,,,,SF,Justise Winslow (26728507),Justise Winslow,26728507,SF/F/UTIL,3000,POR@SAC 02/23/2023 10:00PM ET,POR,20.46
