Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
66,3717102815,BDholla89 (84/150),41.02,331.75,C Anthony Davis F Terence Davis G Trae Young PF Jaren Jackson Jr. PG Theo Maledon SF Haywood Highsmith SG Victor Oladipo UTIL Lindell Wigginton,,Meyers Leonard,C,2.48%,16.75
66,3717121055,tomjk321 (9/150),24,331.75,C Alperen Sengun F Marjon Beauchamp G Lindell Wigginton PF Jalen McDaniels PG Trae Young SF Buddy Hield SG Jaden Hardy UTIL Anthony Davis,,Delon Wright,G,2.46%,25.75
68,3716765303,sullybrochill (1/2),0,330.5,C Nic Claxton F Brandon Ingram G Lindell Wigginton PF Jaren Jackson Jr. PG Trae Young SF Marjon Beauchamp SG Jaden Springer UTIL Jaden Hardy,,Donte DiVincenzo,SF,2.44%,23.25
69,3717210503,waynedell (2/2),0,330,C Alperen Sengun F Jae Crowder G Trae Young PF Jalen McDaniels PG Kevin Porter Jr. SF Max Strus SG Mikal Bridges UTIL Goga Bitadze,,Derrick White,UTIL,2.28%,35
70,3716443636,dacoltz (105/150),0,329.75,C Isaiah Jackson F Franz Wagner G Trae Young PF Jaren Jackson Jr. PG Kevin Porter Jr. SF Jordan Nwora SG Shake Milton UTIL Lindell Wigginton,,Bryce McGowens,SF,2.27%,27.25
71,3716570698,bpcologna (65/150),41.02,329,C Alperen Sengun F LeBron James G Trae Young PF Patrick Williams PG Theo Maledon SF Terence Davis SG Shake Milton UTIL Lindell Wigginton,,Jevon Carter,G,2.25%,21
71,3716785560,LorenzoStax (21/50),0,329,C Alperen Sengun F Brandon Ingram G Lindell Wigginton PF Jaren Jackson Jr. PG Theo Maledon SF Buddy Hield SG Jaden Springer UTIL Paul Reed,,Scottie Barnes,F,2.23%,16
73,3717048007,l800Eddie (62/150),17.02,328.75,C Alperen Sengun F Jaren Jackson Jr. G Lindell Wigginton PF Jalen McDaniels PG Shake Milton SF Jordan Nwora SG Jaden Hardy UTIL Stephen Curry,,Jay Huff,C,2.02%,22.5
73,3716896034,MPascavis (29/150),0,328.75,C Omer Yurtseven F Theo Pinson G Trae Young PF Jaren Jackson Jr. PG Shake Milton SF Brandon Ingram SG Mikal Bridges UTIL Lindell Wigginton,,Fred VanVleet,PG,1.75%,28
75,3717251473,rollerz05,24,328.25,C Goga Bitadze F Josh Okogie G Spencer Dinwiddie PF Jaren Jackson Jr. PG Theo Maledon SF Max Strus SG Coby White UTIL Trae Young,,Tari Eason,SF,1.74%,27.75
75,3716970486,bgreseth (99/150),0,328.25,C Isaiah Jackson F Jaren Jackson Jr. G Trae Young PF Caleb Martin PG Theo Maledon SF Brandon Ingram SG Jaden Springer UTIL Lindell Wigginton,,Isaiah Hartenstein,C,1.73%,12.75
77,3717090552,jbasi73 (132/150),0,327.5,C Paul Reed F Bol Bol G Trae Young PF Pascal Siakam PG Theo Maledon SF Patrick Williams SG Jaden Ivey UTIL Shake Milton,,Georges Niang,F,1.71%,37
78,3716443561,dacoltz (30/150),0,327.25,C Paul Reed F Brandon Ingram G Lindell Wigginton PF Jaren Jackson Jr. PG Trae Young SF Buddy Hield SG Shake Milton UTIL Jaden Hardy,,Herbert Jones,PF,1.68%,32
79,3716667038,ChipotleAddict (91/150),17.02,327,C Alperen Sengun F Marjon Beauchamp G Stephen Curry PF Jaren Jackson Jr. PG Theo Maledon SF Jalen McDaniels SG Jaden Hardy UTIL Goga Bitadze,,Torrey Craig,PF,1.65%,17.5
79,3717047949,l800Eddie (4/150),0,327,C Alperen Sengun F Brandon Ingram G Trae Young PF Duncan Robinson PG Theo Maledon SF Jalen McDaniels SG Shake Milton UTIL Jaden Hardy,,Daniel Gafford,C,1.53%,39
81,3716853186,super52champs,0,326.75,C Alperen Sengun F Jayson Tatum G Svi Mykhailiuk PF Jalen McDaniels PG Shake Milton SF Bryce McGowens SG Jaden Ivey UTIL Isaiah Jackson,,Nic Claxton,UTIL,1.51%,42.75
81,3717244891,moklovin (86/150),0,326.75,C Paul Reed F Jaren Jackson Jr. G Trae Young PF Tari Eason PG Theo Maledon SF Svi Mykhailiuk SG Jaden Hardy UTIL Lindell Wigginton,,Killian Hayes,G,1.45%,53
83,3716977817,shannon1986 (5/6),24,326.5,C Alperen Sengun F Brandon Ingram G Cameron Payne PF Pascal Siakam PG Jaden Ivey SF Jalen McDaniels SG Shake Milton UTIL Goga Bitadze,,Jordan Poole,PG,1.44%,7
83,3716789683,webthekid (135/150),0,326.5,C Nikola Vucevic F Brandon Ingram G Jaden Springer PF RJ Barrett PG Theo Maledon SF Buddy Hield SG Victor Oladipo UTIL Shake Milton,,KJ Martin,PF,1.44%,29.5
85,3717219298,bgk0091 (46/53),48,326.25,C Alperen Sengun F RJ Barrett G Cameron Payne PF Jaren Jackson Jr. PG Kevin Porter Jr. SF Josh Okogie SG Coby White UTIL Shake Milton,,John Collins,F,1.41%,31.5
86,3717259302,Iceman45 (3/3),17.02,326,C Alperen Sengun F Draymond Green G Kevin Porter Jr. PF Jalen McDaniels PG Shake Milton SF Svi Mykhailiuk SG Victor Oladipo UTIL Immanuel Quickley,,Bismack Biyombo,UTIL,1.40%,17.75
86,3716425191,Dabigarch,0,326,C Alperen Sengun F Quentin Grimes G Johnny Davis PF Jalen McDaniels PG Theo Maledon SF Svi Mykhailiuk SG Jaden Ivey UTIL Goga Bitadze,,Joe Ingles,UTIL,1.40%,0
86,3716483096,Nickelback4Lyfe (5/150),0,326,C Paul Reed F Trey Murphy III G Immanuel Quickley PF Jordan Nwora PG Trae Young SF Buddy Hield SG Shake Milton UTIL Coby White,,Bogdan Bogdanovic,UTIL,1.39%,15
89,3717090512,jbasi73 (92/150),41.02,325.75,C Alperen Sengun F Patrick Williams G Trae Young PF Pascal Siakam PG Jaden Ivey SF Terence Davis SG Shake Milton UTIL Cameron Payne,,Nikola Vucevic,UTIL,1.24%,40
89,3717090529,jbasi73 (109/150),17.02,325.75,C Paul Reed F Terence Davis G Shake Milton PF Pascal Siakam PG Theo Maledon SF Patrick Williams SG Jaden Ivey UTIL Trae Young,,Al Horford,PF,1.24%,28.75
89,3717121009,tomjk321 (1/150),0,325.75,C Isaiah Jackson F Jaren Jackson Jr. G Shake Milton PF Pascal Siakam PG Theo Maledon SF Brandon Ingram SG Jaden Springer UTIL Lindell Wigginton,,Royce O'Neale,SF,1.19%,21.25
89,3717121178,tomjk321 (132/150),0,325.75,C Alperen Sengun F Brandon Ingram G Kevin Porter Jr. PF Jalen McDaniels PG Theo Maledon SF Haywood Highsmith SG Jaden Hardy UTIL Lindell Wigginton,,Ish Wainright,F,1.19%,4.5
89,3717155253,suchgreatsights (7/8),0,325.75,C Alperen Sengun F RJ Barrett G Theo Maledon PF Obi Toppin PG Shake Milton SF Jalen McDaniels SG Johnny Davis UTIL Kevin Porter Jr.,,Omer Yurtseven,C,1.16%,21
89,3717223690,desean555,0,325.75,C Alperen Sengun F Patrick Williams G Theo Maledon PF Haywood Highsmith PG Kevin Porter Jr. SF Max Strus SG Jalen Green UTIL Jaden Ivey,,Harrison Barnes,UTIL,1.12%,17.5
95,3717121163,tomjk321 (117/150),0,325.5,C Jalen Duren F Brandon Ingram G Lindell Wigginton PF RJ Barrett PG Trae Young SF Buddy Hield SG Shake Milton UTIL Jaden Hardy,,R.J. Hampton,SG,1.09%,24
96,3716443672,dacoltz (141/150),0,324.75,C Alperen Sengun F Brandon Ingram G Lindell Wigginton PF Jaren Jackson Jr. PG Cole Anthony SF Jordan Nwora SG Shake Milton UTIL Isaiah Jackson,,JT Thor,F,1.08%,20.25
97,3717244922,moklovin (117/150),24,324.5,C Nic Claxton F Jaren Jackson Jr. G Lindell Wigginton PF Pascal Siakam PG Trae Young SF Caleb Martin SG Shake Milton UTIL Cameron Payne,,Marvin Bagley III,UTIL,1.08%,23.25
98,3716974475,beerade,41.02,324.25,C Alperen Sengun F Danuel House Jr. G Trae Young PF Jalen McDaniels PG Stephen Curry SF Josh Okogie SG Shake Milton UTIL Jabari Smith Jr.,,Sam Hauser,G,1.07%,36.75
98,3717015478,Ghettoboyz (2/5),0,324.25,C Alperen Sengun F Jabari Smith Jr. G Fred VanVleet PF RJ Barrett PG Theo Maledon SF Jalen McDaniels SG Shake Milton UTIL Isaiah Jackson,,Austin Reaves,G,1.05%,17
100,3717215084,gigoloJoe (10/32),17.02,324,C Alperen Sengun F Terence Davis G Jalen Green PF RJ Barrett PG Jaden Ivey SF Marjon Beauchamp SG Shake Milton UTIL Kevin Porter Jr.,,Justin Holiday,SG,1.01%,29
100,3717256742,gigoloJoe (32/32),17.02,324,C Alperen Sengun F Terence Davis G Kevin Porter Jr. PF RJ Barrett PG Jaden Ivey SF Marjon Beauchamp SG Shake Milton UTIL Jalen Green,,Jalen Johnson,F,0.99%,27.25
