id,last_name,first_name,value,team,position,opponent,minutes,points,threes,rebounds,assists,steals,blocks,turnovers,twos,free throws,free_throws_missed,field goals,field_goals_missed,double doubles,triple doubles,injury
6330,Reaves,Austin,25.94,LAL,SG,PHO,31,14.16,1.15,3.2,4.25,0.62,0.29,2.05,2.91,4.89,0.79,4.06,3.92,0.03,0.001,
5760,Nunn,Kendrick,25.91,WAS,SG,MIA,25,15.95,2.59,3,2.7,0.72,0.14,1.77,3.6,0.98,0.18,6.19,7.52,0.02,0,
6158,Williams,Patrick,25.79,CHI,SF/PF,@ DAL,30,14.76,1.95,4.31,1.15,0.95,0.78,1.12,3.76,1.39,0.29,5.71,5.96,0.03,0,
6207,Martin Jr.,Kenyon,25.78,HOU,SF,@ CHA,30,14.12,0.81,6.26,1.39,0.49,0.41,1.18,4.74,2.21,0.99,5.55,3.93,0.09,0,
2848,Love,Kevin,25.48,MIA,PF/C,@ WAS,23,10.67,2.14,7.48,2.38,0.32,0.27,1.28,1.29,1.67,0.21,3.43,5.61,0.18,0.002,Questionable
6301,Kispert,Corey,25.4,WAS,SF,MIA,34,16.73,3.39,3.51,1.2,0.46,0.14,0.88,2.68,1.2,0.19,6.07,5.61,0.02,0,
6148,Toppin,Obi,25.26,NYK,PF,@ NOR,30,14.26,2.49,4.44,1.8,0.65,0.38,1.18,2.81,1.17,0.37,5.3,6.94,0.03,0,
5364,Hield,Buddy,24.99,IND,SG/SF,DET,24,12.99,2.66,4.12,2.47,0.94,0.29,1.36,1.88,1.25,0.28,4.54,5.73,0.02,0,
5105,O'Neale,Royce,24.98,BKN,SF/PF,ORL,32,8.84,2.04,5.35,3.82,1.01,0.71,1.56,0.83,1.06,0.37,2.87,4.81,0.03,0.001,
5308,Brogdon,Malcolm,24.9,BOS,PG/SG,TOR,25,12.88,1.57,3.99,3.31,0.66,0.3,1.32,3.22,1.73,0.26,4.79,5.22,0.02,0,Questionable
6151,Hampton,R.J.,24.76,DET,PG,@ IND,30,13.16,1.93,3.43,2.34,1.42,0.43,1.77,2.37,2.63,0.75,4.3,5.77,0.02,0,
